id,batch,section,category,qa1,qa2,qa3,qa4,qa5,qa6,qa7,contentEligibleIgnoringInfrastructureFailures
"GR-A1-SV-01","PILOT-1","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR-A1-SV-02","PILOT-1","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR-A1-SV-03","PILOT-1","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR-A1-SV-04","PILOT-1","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"GR-A1-SV-05","PILOT-1","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR-A1-SV-06","PILOT-1","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"GR-A1-SV-07","PILOT-1","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR-A1-SV-08","PILOT-1","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR-A1-SV-09","PILOT-1","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","FAIL","false"
"GR-A1-SV-10","PILOT-1","script_vocabulary","kanji_reading","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","FAIL","false"
"GR-A1-CE-01","PILOT-1","conversation_expression","expression","FAIL","PASS","PASS","REVIEW","FAIL","PASS","FAIL","false"
"GR-A1-CE-02","PILOT-1","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","FAIL","false"
"GR-A1-CE-03","PILOT-1","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"GR-A1-CE-04","PILOT-1","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","FAIL","false"
"GR-A1-CE-05","PILOT-1","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","REVIEW","PASS","REVIEW","false"
"GR-A1-CE-06","PILOT-1","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"GR-A1-CE-07","PILOT-1","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","REVIEW","false"
"GR-A1-CE-08","PILOT-1","conversation_expression","expression","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"GR-A1-CE-09","PILOT-1","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","REVIEW","false"
"GR-A1-CE-10","PILOT-1","conversation_expression","grammar","FAIL","FAIL","PASS","REVIEW","FAIL","PASS","FAIL","false"
"GR-A1-LI-01","PILOT-1","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"GR-A1-LI-02","PILOT-1","listening","shop_public","REVIEW","PASS","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"GR-A1-LI-03","PILOT-1","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","FAIL","REVIEW","FAIL","false"
"GR-A1-LI-04","PILOT-1","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"GR-A1-LI-05","PILOT-1","listening","announcement_instruction","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"GR-A1-LI-06","PILOT-1","listening","shop_public","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"GR-A1-LI-07","PILOT-1","listening","conversation","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"GR-A1-LI-08","PILOT-1","listening","conversation","REVIEW","PASS","PASS","REVIEW","REVIEW","REVIEW","FAIL","false"
"GR-A1-LI-09","PILOT-1","listening","announcement_instruction","REVIEW","PASS","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
"GR-A1-LI-10","PILOT-1","listening","conversation","FAIL","FAIL","PASS","REVIEW","REVIEW","REVIEW","REVIEW","false"
